PhotonEnergy_meV,Total_manning_prefactor_0,Total_manning_prefactor_0_5,Total_manning_prefactor_1,Total_manning_prefactor_1_5,Total_manning_prefactor_2,Optical_manning_prefactor_0,Optical_manning_prefactor_0_5,Optical_manning_prefactor_1,Optical_manning_prefactor_1_5,Optical_manning_prefactor_2,Piezoelectric_manning_prefactor_0,Piezoelectric_manning_prefactor_0_5,Piezoelectric_manning_prefactor_1,Piezoelectric_manning_prefactor_1_5,Piezoelectric_manning_prefactor_2
8.64,2.29386656391416e-07,4.53976481162941e-07,8.92866197473931e-07,1.70815043022171e-06,3.71932800845691e-06,2.00825810367718e-07,3.49221708867792e-07,7.35575880676138e-07,1.46872488086104e-06,3.34994054530968e-06,2.85608460236989e-08,1.04754772295149e-07,1.57290316797793e-07,2.39425549360667e-07,3.69387463147231e-07
8.65,2.29549166139014e-07,4.54337925920175e-07,8.9370618770368e-07,1.71027097346627e-06,3.72593515466197e-06,2.0097396169996e-07,3.4953196121455e-07,7.36329565107297e-07,1.47069658910242e-06,3.3562850793472e-06,2.85752044390538e-08,1.04805964705625e-07,1.57376622596383e-07,2.39574384363853e-07,3.69650075314768e-07
8.66,2.29712525528264e-07,4.54699821918445e-07,8.94547459619754e-07,1.71239580112155e-06,3.73256135777846e-06,2.01122277019994e-07,3.49842627148759e-07,7.37084459888737e-07,1.47267244222578e-06,3.36264838829416e-06,2.85902485082696e-08,1.04857194769686e-07,1.57462999731017e-07,2.39723358895773e-07,3.69912969484303e-07
8.67,2.29874678180654e-07,4.55062169930173e-07,8.95390015943406e-07,1.71452492518977e-06,3.73920669343952e-06,2.01270756569915e-07,3.50153707405788e-07,7.37840567662756e-07,1.47465245205799e-06,3.3690305473771e-06,2.8603921610739e-08,1.04908462524386e-07,1.5754944828065e-07,2.3987247313178e-07,3.70176146062422e-07
8.68,2.30038983594655e-07,4.55424970729465e-07,8.9623385940327e-07,1.71665835771589e-06,3.74587123765799e-06,2.01419400592263e-07,3.50465202722641e-07,7.38597891078925e-07,1.47663663046839e-06,3.37543163220155e-06,2.86195830023916e-08,1.04959768006825e-07,1.57635968324345e-07,2.40021727247502e-07,3.70439605456444e-07
8.69,2.30202161858073e-07,4.5578822509211e-07,8.97078992735383e-07,1.71879611078785e-06,3.75255506682869e-06,2.01568209330029e-07,3.50777113837961e-07,7.39356432794107e-07,1.478624989369e-06,3.38185171875426e-06,2.86339525280441e-08,1.05011111254149e-07,1.57722559941276e-07,2.40171121418845e-07,3.70703348074434e-07
8.7,2.30365924087647e-07,4.56151933795587e-07,8.97925418683213e-07,1.72093819653672e-06,3.75925825773072e-06,2.0171718302665e-07,3.51089441492037e-07,7.40116195472486e-07,1.48061754071472e-06,3.38829088340553e-06,2.86487410609976e-08,1.0506249230355e-07,1.57809223210727e-07,2.40320655821995e-07,3.70967374325192e-07
8.71,2.30530463381644e-07,4.5651609761907e-07,8.9877313999768e-07,1.72308462713687e-06,3.76598088752983e-06,2.01866321926014e-07,3.51402186426803e-07,7.40877181785589e-07,1.48261429650346e-06,3.39474920291157e-06,2.86641414556305e-08,1.05113911192267e-07,1.57895958212091e-07,2.40470330633413e-07,3.71231684618263e-07
8.72,2.30694540137385e-07,4.56880717343429e-07,8.99622159437183e-07,1.72523541480623e-06,3.77272303378073e-06,2.02015626272459e-07,3.51715349385848e-07,7.4163939441231e-07,1.48461526877639e-06,3.40122675441679e-06,2.86789138649258e-08,1.05165367957582e-07,1.57982765024874e-07,2.40620146029841e-07,3.71496279363938e-07
8.73,2.3085974485857e-07,4.5724579375124e-07,9.00472479767622e-07,1.72739057180637e-06,3.77948477442946e-06,2.02165096310778e-07,3.52028931114415e-07,7.42402836038933e-07,1.48662046961807e-06,3.40772361545621e-06,2.86946485477915e-08,1.05216862636825e-07,1.58069643728689e-07,2.40770102188302e-07,3.71761158973251e-07
8.74,2.3102454602783e-07,4.57611327626785e-07,9.01324103762425e-07,1.72955011044279e-06,3.78626618781579e-06,2.02314732286213e-07,3.52342932359412e-07,7.43167509359162e-07,1.48862991115669e-06,3.4142398639578e-06,2.87098137416169e-08,1.05268395267373e-07,1.58156594403263e-07,2.40920199286096e-07,3.72026323857985e-07
